dateTime,dateTime,heatContent
2011-07-23 12:00:00,2011-07-23 12:00:00,3276558855.8383565
2011-07-24 12:00:00,2011-07-24 12:00:00,3374643137.9750633
2011-07-25 12:00:00,2011-07-25 12:00:00,3538167254.2323313
2011-07-26 12:00:00,2011-07-26 12:00:00,3540732120.3131547
2011-07-27 12:00:00,2011-07-27 12:00:00,3513620854.549773
2011-07-28 12:00:00,2011-07-28 12:00:00,3479757055.5604863
2011-07-29 12:00:00,2011-07-29 12:00:00,2843163016.7158394
2011-07-30 12:00:00,2011-07-30 12:00:00,2986995966.0688915
2011-07-31 12:00:00,2011-07-31 12:00:00,3109256392.384601
2011-08-01 12:00:00,2011-08-01 12:00:00,3163598686.0161824
2011-08-02 12:00:00,2011-08-02 12:00:00,3268920885.735238
2011-08-03 12:00:00,2011-08-03 12:00:00,3281061020.2661858
2011-08-04 12:00:00,2011-08-04 12:00:00,3307268676.5278997
2011-08-05 12:00:00,2011-08-05 12:00:00,3358203904.8968396
2011-08-06 12:00:00,2011-08-06 12:00:00,3411447278.470129
2011-08-07 12:00:00,2011-08-07 12:00:00,3495824435.622745
2011-08-08 12:00:00,2011-08-08 12:00:00,3620386911.171493
2011-08-09 12:00:00,2011-08-09 12:00:00,3645446032.6689157
2011-08-10 12:00:00,2011-08-10 12:00:00,3370789944.934412
2011-08-11 12:00:00,2011-08-11 12:00:00,3446793672.9464993
2011-08-12 12:00:00,2011-08-12 12:00:00,3558141221.1138616
2011-08-13 12:00:00,2011-08-13 12:00:00,3586735524.799084
2011-08-14 12:00:00,2011-08-14 12:00:00,3269846339.8403068
2011-08-15 12:00:00,2011-08-15 12:00:00,3426011911.210599
2011-08-16 12:00:00,2011-08-16 12:00:00,3386548131.4867644
2011-08-17 12:00:00,2011-08-17 12:00:00,3337864519.2150283
2011-08-18 12:00:00,2011-08-18 12:00:00,3055160270.317213
2011-08-19 12:00:00,2011-08-19 12:00:00,3055237789.0401473
2011-08-20 12:00:00,2011-08-20 12:00:00,3052103195.391132
2011-08-21 12:00:00,2011-08-21 12:00:00,3046539320.9607196
2011-08-22 12:00:00,2011-08-22 12:00:00,3100102046.861948
2011-08-23 12:00:00,2011-08-23 12:00:00,3263999102.080581
2011-08-24 12:00:00,2011-08-24 12:00:00,3421864361.887554
2011-08-25 12:00:00,2011-08-25 12:00:00,3472994518.4492292
2011-08-26 12:00:00,2011-08-26 12:00:00,3569779932.6679845
2011-08-27 12:00:00,2011-08-27 12:00:00,3557441439.841315
2011-08-28 12:00:00,2011-08-28 12:00:00,3523968033.9132633
2011-08-29 12:00:00,2011-08-29 12:00:00,3485068382.8296695
2011-08-30 12:00:00,2011-08-30 12:00:00,3319080678.7007265
2011-08-31 12:00:00,2011-08-31 12:00:00,3251017850.944678
2011-09-01 12:00:00,2011-09-01 12:00:00,3305946237.8165226
2011-09-02 12:00:00,2011-09-02 12:00:00,3446212465.614797
